,index,PtxID,Group,MAE_Chunk,Chunk
0,0,vn265606624Yv403,NoReward,,14
1,1,vn265606624Yv403,NoReward,,22
2,2,vn265606624Yv403,NoReward,,30
3,0,kL32782760pb805,Reward,14.196771125888795,14
4,1,kL32782760pb805,Reward,13.780949447513812,22
5,2,kL32782760pb805,Reward,15.404902486187847,30
6,0,Ai275415234NZ493,Reward,40.577655885331005,14
7,1,Ai275415234NZ493,Reward,27.54029172749253,22
8,2,Ai275415234NZ493,Reward,30.843698322690983,30
9,0,CL78462911bI451,NoReward,39.87249347352823,14
10,1,CL78462911bI451,NoReward,29.32238716048931,22
11,2,CL78462911bI451,NoReward,26.623208351932483,30
12,0,XY13546991Od507,NoReward,44.105903860390534,14
13,1,XY13546991Od507,NoReward,34.64422074323418,22
14,2,XY13546991Od507,NoReward,35.430213289549116,30
15,0,iA94696354Ww734,NoReward,34.60266353591161,14
16,1,iA94696354Ww734,NoReward,22.99993453038674,22
17,2,iA94696354Ww734,NoReward,38.567248695620364,30
18,0,UJ22372929Ma480,NoReward,,14
19,1,UJ22372929Ma480,NoReward,,22
20,2,UJ22372929Ma480,NoReward,,30
21,0,nN48787345GM446,Reward,,14
22,1,nN48787345GM446,Reward,,22
23,2,nN48787345GM446,Reward,,30
24,0,rN464901337br235,Reward,27.57315089458856,14
25,1,rN464901337br235,Reward,19.54924502762431,22
26,2,rN464901337br235,Reward,16.138776608064106,30
27,0,bK159349224Ky792,Reward,,14
28,1,bK159349224Ky792,Reward,,22
29,2,bK159349224Ky792,Reward,,30
30,0,N,Reward,,14
31,1,N,Reward,,22
32,2,N,Reward,,30
33,0,QJ690773638qD178,NoReward,,14
34,1,QJ690773638qD178,NoReward,,22
35,2,QJ690773638qD178,NoReward,,30
36,0,Y,Reward,,14
37,1,Y,Reward,,22
38,2,Y,Reward,,30
39,0,qX523123508pL71,Reward,24.69701160932402,14
40,1,qX523123508pL71,Reward,21.68862637191844,22
41,2,qX523123508pL71,Reward,20.733776035705255,30
42,0,L,Reward,26.987827969155905,14
43,1,L,Reward,,22
44,2,L,Reward,,30
45,0,MY493867256yh257,NoReward,28.856480014452455,14
46,1,MY493867256yh257,NoReward,26.72114640883978,22
47,2,MY493867256yh257,NoReward,27.903129371432048,30
48,0,AC255458104IA833,Reward,,14
49,1,AC255458104IA833,Reward,,22
50,2,AC255458104IA833,Reward,,30
51,0,pU265328919tM703,Reward,,14
52,1,pU265328919tM703,Reward,,22
53,2,pU265328919tM703,Reward,,30
54,0,jh809396928Su223,Reward,37.10544363190439,14
55,1,jh809396928Su223,Reward,,22
56,2,jh809396928Su223,Reward,,30
57,0,sV262240837Wu893,Reward,,14
58,1,sV262240837Wu893,Reward,,22
59,2,sV262240837Wu893,Reward,,30
60,0,uL709664845pY57,Reward,,14
61,1,uL709664845pY57,Reward,,22
62,2,uL709664845pY57,Reward,,30
63,0,Di839285889sX391,Reward,29.447562937079994,14
64,1,Di839285889sX391,Reward,25.835915745856354,22
65,2,Di839285889sX391,Reward,24.503353867403316,30
66,0,Ch285298221IQ296,Reward,27.992687393423807,14
67,1,Ch285298221IQ296,Reward,26.434969189294797,22
68,2,Ch285298221IQ296,Reward,,30
69,0,pV715326977Ci92,NoReward,24.124013961380655,14
70,1,pV715326977Ci92,NoReward,24.579934773761252,22
71,2,pV715326977Ci92,NoReward,21.77499387301383,30
72,0,FV138309651bm4,NoReward,,14
73,1,FV138309651bm4,NoReward,,22
74,2,FV138309651bm4,NoReward,,30
75,0,av821962704Np731,NoReward,,14
76,1,av821962704Np731,NoReward,,22
77,2,av821962704Np731,NoReward,,30
78,0,NN0891521Nv932,Reward,,14
79,1,NN0891521Nv932,Reward,,22
80,2,NN0891521Nv932,Reward,,30
81,0,NRNFMMM589968,NoReward,,14
82,1,NRNFMMM589968,NoReward,,22
83,2,NRNFMMM589968,NoReward,,30
84,0,ML52766852sX612,NoReward,,14
85,1,ML52766852sX612,NoReward,,22
86,2,ML52766852sX612,NoReward,,30
87,0,Hv578899179Yv8,NoReward,19.535465834116774,14
88,1,Hv578899179Yv8,NoReward,,22
89,2,Hv578899179Yv8,NoReward,,30
90,0,PS940208551QF590,Reward,24.919684286838198,14
91,1,PS940208551QF590,Reward,18.280660313584804,22
92,2,PS940208551QF590,Reward,16.633885809120002,30
93,0,wQ432254460Cm818,NoReward,19.021582944882777,14
94,1,wQ432254460Cm818,NoReward,20.324204788532324,22
95,2,wQ432254460Cm818,NoReward,19.42392702482065,30
96,0,Wr404947346qM443,NoReward,,14
97,1,Wr404947346qM443,NoReward,,22
98,2,Wr404947346qM443,NoReward,,30
99,0,Nr746161853dz70,NoReward,,14
100,1,Nr746161853dz70,NoReward,,22
101,2,Nr746161853dz70,NoReward,,30
102,0,fk560962752EX865,NoReward,,14
103,1,fk560962752EX865,NoReward,,22
104,2,fk560962752EX865,NoReward,,30
105,0,bK933906299Id748,Reward,28.605473656972574,14
106,1,bK933906299Id748,Reward,34.924555002370276,22
107,2,bK933906299Id748,Reward,35.00721133630465,30
108,0,gz873989828sw827,Reward,,14
109,1,gz873989828sw827,Reward,,22
110,2,gz873989828sw827,Reward,,30
111,0,gg646183622lq862,NoReward,30.635042159580607,14
112,1,gg646183622lq862,NoReward,23.032943169235203,22
113,2,gg646183622lq862,NoReward,26.232880363485272,30
114,0,Vg620975542yx459,NoReward,26.58353200639079,14
115,1,Vg620975542yx459,NoReward,18.385263535911605,22
116,2,Vg620975542yx459,NoReward,18.701458526005254,30
117,0,iv952424735op998,Reward,19.497942800831186,14
118,1,iv952424735op998,Reward,13.495556629834255,22
119,2,iv952424735op998,Reward,14.852891980679525,30
120,0,zU983253538Tj193,NoReward,,14
121,1,zU983253538Tj193,NoReward,,22
122,2,zU983253538Tj193,NoReward,,30
123,0,te60281288Gj243,Reward,,14
124,1,te60281288Gj243,Reward,,22
125,2,te60281288Gj243,Reward,,30
126,0,Bm668184579LL501,NoReward,19.81888311709064,14
127,1,Bm668184579LL501,NoReward,18.135103004057115,22
128,2,Bm668184579LL501,NoReward,15.118914431372811,30
129,0,XK722874333VL212,NoReward,41.26789424160656,14
130,1,XK722874333VL212,NoReward,,22
131,2,XK722874333VL212,NoReward,,30
132,0,WC247803994GF657,NoReward,29.093945206241116,14
133,1,WC247803994GF657,NoReward,25.412394649657166,22
134,2,WC247803994GF657,NoReward,35.348123244723595,30
135,0,An789876880Um49,NoReward,,14
136,1,An789876880Um49,NoReward,,22
137,2,An789876880Um49,NoReward,,30
138,0,FG422120767Wz20,NoReward,,14
139,1,FG422120767Wz20,NoReward,,22
140,2,FG422120767Wz20,NoReward,,30
141,0,pO78426161Oe999,Reward,42.0678506274384,14
142,1,pO78426161Oe999,Reward,,22
143,2,pO78426161Oe999,Reward,,30
144,0,MF,NoReward,,14
145,1,MF,NoReward,,22
146,2,MF,NoReward,,30
147,0,OX377652340OK228,NoReward,38.466316322308245,14
148,1,OX377652340OK228,NoReward,,22
149,2,OX377652340OK228,NoReward,,30
150,0,Ac951310807Ba369,NoReward,51.162580378507926,14
151,1,Ac951310807Ba369,NoReward,45.72483882953423,22
152,2,Ac951310807Ba369,NoReward,54.385674461234494,30
153,0,bD315366166XI81,Reward,38.437150938944846,14
154,1,bD315366166XI81,Reward,22.999425768618195,22
155,2,bD315366166XI81,Reward,20.697055482987395,30
156,0,pP523446637hf604,NoReward,,14
157,1,pP523446637hf604,NoReward,,22
158,2,pP523446637hf604,NoReward,,30
159,0,pZ714559851sE51,NoReward,31.38025844633902,14
160,1,pZ714559851sE51,NoReward,19.329942122023134,22
161,2,pZ714559851sE51,NoReward,21.56815864254427,30
162,0,Md97898857lx914,NoReward,47.97122725598527,14
163,1,Md97898857lx914,NoReward,,22
164,2,Md97898857lx914,NoReward,,30
165,0,EE288981452fb406,NoReward,,14
166,1,EE288981452fb406,NoReward,,22
167,2,EE288981452fb406,NoReward,,30
168,0,lA76851177un272,NoReward,,14
169,1,lA76851177un272,NoReward,,22
170,2,lA76851177un272,NoReward,,30
171,0,mt742485739Iw200,Reward,32.148922867805794,14
172,1,mt742485739Iw200,Reward,24.439847486980593,22
173,2,mt742485739Iw200,Reward,29.075786187845303,30
