,PtxID,Group,MAE_Chunk,Chunk
4,L,Reward,,26
5,L,Reward,,29
6,L,Reward,,32
7,L,Reward,,35
8,L,Reward,,38
0,MY493867256yh257,NoReward,24.50319676106497,14
1,MY493867256yh257,NoReward,28.596690678960396,17
2,MY493867256yh257,NoReward,27.21043182235069,20
3,MY493867256yh257,NoReward,26.529398757576864,23
4,MY493867256yh257,NoReward,25.60739703024321,26
5,MY493867256yh257,NoReward,26.479945933198337,29
6,MY493867256yh257,NoReward,26.521784828225957,32
7,MY493867256yh257,NoReward,26.969068138865516,35
8,MY493867256yh257,NoReward,26.21240702428468,38
0,AC255458104IA833,Reward,,14
1,AC255458104IA833,Reward,,17
2,AC255458104IA833,Reward,,20
3,AC255458104IA833,Reward,,23
4,AC255458104IA833,Reward,,26
5,AC255458104IA833,Reward,,29
6,AC255458104IA833,Reward,,32
7,AC255458104IA833,Reward,,35
8,AC255458104IA833,Reward,,38
0,pU265328919tM703,Reward,,14
1,pU265328919tM703,Reward,,17
2,pU265328919tM703,Reward,,20
3,pU265328919tM703,Reward,,23
4,pU265328919tM703,Reward,,26
5,pU265328919tM703,Reward,,29
6,pU265328919tM703,Reward,,32
7,pU265328919tM703,Reward,,35
8,pU265328919tM703,Reward,,38
0,jh809396928Su223,Reward,30.346753930432,14
1,jh809396928Su223,Reward,37.64141543767429,17
2,jh809396928Su223,Reward,36.773475445421184,20
3,jh809396928Su223,Reward,,23
4,jh809396928Su223,Reward,,26
5,jh809396928Su223,Reward,,29
6,jh809396928Su223,Reward,,32
7,jh809396928Su223,Reward,,35
8,jh809396928Su223,Reward,,38
0,sV262240837Wu893,Reward,12.549519277423792,14
1,sV262240837Wu893,Reward,,17
2,sV262240837Wu893,Reward,,20
3,sV262240837Wu893,Reward,,23
4,sV262240837Wu893,Reward,,26
5,sV262240837Wu893,Reward,,29
6,sV262240837Wu893,Reward,,32
7,sV262240837Wu893,Reward,,35
8,sV262240837Wu893,Reward,,38
0,uL709664845pY57,Reward,,14
1,uL709664845pY57,Reward,,17
2,uL709664845pY57,Reward,,20
3,uL709664845pY57,Reward,,23
4,uL709664845pY57,Reward,,26
5,uL709664845pY57,Reward,,29
6,uL709664845pY57,Reward,,32
7,uL709664845pY57,Reward,,35
8,uL709664845pY57,Reward,,38
0,Di839285889sX391,Reward,24.924668379251887,14
1,Di839285889sX391,Reward,29.26146937372702,17
2,Di839285889sX391,Reward,25.955846187845303,20
3,Di839285889sX391,Reward,23.5708782320442,23
4,Di839285889sX391,Reward,22.72725546961326,26
5,Di839285889sX391,Reward,20.72935149171271,29
6,Di839285889sX391,Reward,21.29599644115961,32
7,Di839285889sX391,Reward,22.852694231214862,35
8,Di839285889sX391,Reward,23.087907505518764,38
0,Ch285298221IQ296,Reward,25.50787833163053,14
1,Ch285298221IQ296,Reward,28.32357619804701,17
2,Ch285298221IQ296,Reward,27.008109014594083,20
3,Ch285298221IQ296,Reward,27.815838204291335,23
4,Ch285298221IQ296,Reward,26.00167980247617,26
5,Ch285298221IQ296,Reward,27.300916247906198,29
6,Ch285298221IQ296,Reward,,32
7,Ch285298221IQ296,Reward,,35
8,Ch285298221IQ296,Reward,,38
0,pV715326977Ci92,NoReward,22.617729982167425,14
1,pV715326977Ci92,NoReward,25.4831456377753,17
2,pV715326977Ci92,NoReward,23.659979121077725,20
3,pV715326977Ci92,NoReward,21.791684766361477,23
4,pV715326977Ci92,NoReward,20.84734187899954,26
5,pV715326977Ci92,NoReward,24.057545831635824,29
6,pV715326977Ci92,NoReward,22.524378488386468,32
7,pV715326977Ci92,NoReward,22.123854808077063,35
8,pV715326977Ci92,NoReward,19.263599808889268,38
0,FV138309651bm4,NoReward,,14
1,FV138309651bm4,NoReward,,17
2,FV138309651bm4,NoReward,,20
3,FV138309651bm4,NoReward,,23
4,FV138309651bm4,NoReward,,26
5,FV138309651bm4,NoReward,,29
6,FV138309651bm4,NoReward,,32
7,FV138309651bm4,NoReward,,35
8,FV138309651bm4,NoReward,,38
0,av821962704Np731,NoReward,,14
1,av821962704Np731,NoReward,,17
2,av821962704Np731,NoReward,,20
3,av821962704Np731,NoReward,,23
4,av821962704Np731,NoReward,,26
5,av821962704Np731,NoReward,,29
6,av821962704Np731,NoReward,,32
7,av821962704Np731,NoReward,,35
8,av821962704Np731,NoReward,,38
0,NN0891521Nv932,Reward,,14
1,NN0891521Nv932,Reward,,17
2,NN0891521Nv932,Reward,,20
3,NN0891521Nv932,Reward,,23
4,NN0891521Nv932,Reward,,26
5,NN0891521Nv932,Reward,,29
6,NN0891521Nv932,Reward,,32
7,NN0891521Nv932,Reward,,35
8,NN0891521Nv932,Reward,,38
0,NRNFMMM589968,NoReward,,14
1,NRNFMMM589968,NoReward,,17
2,NRNFMMM589968,NoReward,,20
3,NRNFMMM589968,NoReward,,23
4,NRNFMMM589968,NoReward,,26
5,NRNFMMM589968,NoReward,,29
6,NRNFMMM589968,NoReward,,32
7,NRNFMMM589968,NoReward,,35
8,NRNFMMM589968,NoReward,,38
0,ML52766852sX612,NoReward,,14
1,ML52766852sX612,NoReward,,17
2,ML52766852sX612,NoReward,,20
3,ML52766852sX612,NoReward,,23
4,ML52766852sX612,NoReward,,26
5,ML52766852sX612,NoReward,,29
6,ML52766852sX612,NoReward,,32
7,ML52766852sX612,NoReward,,35
8,ML52766852sX612,NoReward,,38
0,Hv578899179Yv8,NoReward,16.320892663586143,14
1,Hv578899179Yv8,NoReward,19.535465834116774,17
2,Hv578899179Yv8,NoReward,,20
3,Hv578899179Yv8,NoReward,,23
4,Hv578899179Yv8,NoReward,,26
5,Hv578899179Yv8,NoReward,,29
6,Hv578899179Yv8,NoReward,,32
7,Hv578899179Yv8,NoReward,,35
8,Hv578899179Yv8,NoReward,,38
0,PS940208551QF590,Reward,19.53667616531903,14
1,PS940208551QF590,Reward,20.30369288285129,17
2,PS940208551QF590,Reward,18.77862435145046,20
3,PS940208551QF590,Reward,18.176957015722444,23
4,PS940208551QF590,Reward,17.817653677637672,26
5,PS940208551QF590,Reward,17.928209116715674,29
6,PS940208551QF590,Reward,17.354223174787485,32
7,PS940208551QF590,Reward,17.538027703828515,35
8,PS940208551QF590,Reward,17.28918078850639,38
0,wQ432254460Cm818,NoReward,19.1401511777161,14
1,wQ432254460Cm818,NoReward,19.63458187879695,17
2,wQ432254460Cm818,NoReward,19.579956857681793,20
3,wQ432254460Cm818,NoReward,19.654277459338143,23
4,wQ432254460Cm818,NoReward,19.408783656820354,26
5,wQ432254460Cm818,NoReward,19.201041538877806,29
6,wQ432254460Cm818,NoReward,19.487853382898127,32
7,wQ432254460Cm818,NoReward,18.415383613218744,35
8,wQ432254460Cm818,NoReward,17.514068297355298,38
0,Wr404947346qM443,NoReward,,14
1,Wr404947346qM443,NoReward,,17
2,Wr404947346qM443,NoReward,,20
3,Wr404947346qM443,NoReward,,23
4,Wr404947346qM443,NoReward,,26
5,Wr404947346qM443,NoReward,,29
6,Wr404947346qM443,NoReward,,32
7,Wr404947346qM443,NoReward,,35
8,Wr404947346qM443,NoReward,,38
0,Nr746161853dz70,NoReward,,14
1,Nr746161853dz70,NoReward,,17
2,Nr746161853dz70,NoReward,,20
3,Nr746161853dz70,NoReward,,23
4,Nr746161853dz70,NoReward,,26
5,Nr746161853dz70,NoReward,,29
6,Nr746161853dz70,NoReward,,32
7,Nr746161853dz70,NoReward,,35
8,Nr746161853dz70,NoReward,,38
0,fk560962752EX865,NoReward,,14
1,fk560962752EX865,NoReward,,17
2,fk560962752EX865,NoReward,,20
3,fk560962752EX865,NoReward,,23
4,fk560962752EX865,NoReward,,26
5,fk560962752EX865,NoReward,,29
6,fk560962752EX865,NoReward,,32
7,fk560962752EX865,NoReward,,35
8,fk560962752EX865,NoReward,,38
0,bK933906299Id748,Reward,29.588088356155822,14
1,bK933906299Id748,Reward,32.21594668377746,17
2,bK933906299Id748,Reward,34.38509323774459,20
3,bK933906299Id748,Reward,32.59238764774088,23
4,bK933906299Id748,Reward,33.7484717878382,26
5,bK933906299Id748,Reward,31.55412777363886,29
6,bK933906299Id748,Reward,32.12071859778012,32
7,bK933906299Id748,Reward,35.809236382071774,35
8,bK933906299Id748,Reward,40.25411007710319,38
0,gz873989828sw827,Reward,,14
1,gz873989828sw827,Reward,,17
2,gz873989828sw827,Reward,,20
3,gz873989828sw827,Reward,,23
4,gz873989828sw827,Reward,,26
5,gz873989828sw827,Reward,,29
6,gz873989828sw827,Reward,,32
7,gz873989828sw827,Reward,,35
8,gz873989828sw827,Reward,,38
0,gg646183622lq862,NoReward,29.22182544011996,14
1,gg646183622lq862,NoReward,28.761456996592404,17
2,gg646183622lq862,NoReward,25.541884967622927,20
3,gg646183622lq862,NoReward,27.64648304896944,23
4,gg646183622lq862,NoReward,23.105209683216437,26
5,gg646183622lq862,NoReward,25.27827446631602,29
6,gg646183622lq862,NoReward,22.08364667691069,32
7,gg646183622lq862,NoReward,20.320352796766123,35
8,gg646183622lq862,NoReward,14.115054671555853,38
0,Vg620975542yx459,NoReward,20.465631372312266,14
1,Vg620975542yx459,NoReward,21.589962857804938,17
2,Vg620975542yx459,NoReward,18.522170607734804,20
3,Vg620975542yx459,NoReward,17.963207518690616,23
4,Vg620975542yx459,NoReward,18.38225072311051,26
5,Vg620975542yx459,NoReward,18.179347659179435,29
6,Vg620975542yx459,NoReward,18.8098362730855,32
7,Vg620975542yx459,NoReward,19.15078710181478,35
8,Vg620975542yx459,NoReward,19.26530313892649,38
0,iv952424735op998,Reward,16.172898040898865,14
1,iv952424735op998,Reward,16.98465607817034,17
2,iv952424735op998,Reward,14.826413647231115,20
3,iv952424735op998,Reward,15.265974537948363,23
4,iv952424735op998,Reward,14.546070165745856,26
5,iv952424735op998,Reward,14.884080991166837,29
6,iv952424735op998,Reward,14.465480369894289,32
7,iv952424735op998,Reward,14.83099872536366,35
8,iv952424735op998,Reward,14.902067582964401,38
0,zU983253538Tj193,NoReward,,14
1,zU983253538Tj193,NoReward,,17
2,zU983253538Tj193,NoReward,,20
3,zU983253538Tj193,NoReward,,23
4,zU983253538Tj193,NoReward,,26
5,zU983253538Tj193,NoReward,,29
6,zU983253538Tj193,NoReward,,32
7,zU983253538Tj193,NoReward,,35
8,zU983253538Tj193,NoReward,,38
0,te60281288Gj243,Reward,,14
1,te60281288Gj243,Reward,,17
2,te60281288Gj243,Reward,,20
3,te60281288Gj243,Reward,,23
4,te60281288Gj243,Reward,,26
5,te60281288Gj243,Reward,,29
6,te60281288Gj243,Reward,,32
7,te60281288Gj243,Reward,,35
8,te60281288Gj243,Reward,,38
0,Bm668184579LL501,NoReward,17.383404238761972,14
1,Bm668184579LL501,NoReward,19.01003885063249,17
2,Bm668184579LL501,NoReward,17.23027136518288,20
3,Bm668184579LL501,NoReward,16.48428701438333,23
4,Bm668184579LL501,NoReward,15.451222311542072,26
5,Bm668184579LL501,NoReward,13.83635511607405,29
6,Bm668184579LL501,NoReward,12.900600228521824,32
7,Bm668184579LL501,NoReward,13.841218683665343,35
8,Bm668184579LL501,NoReward,13.640999641185664,38
0,XK722874333VL212,NoReward,40.78663605109266,14
1,XK722874333VL212,NoReward,49.486656724470095,17
2,XK722874333VL212,NoReward,55.06500885097271,20
3,XK722874333VL212,NoReward,80.66448119122256,23
4,XK722874333VL212,NoReward,,26
5,XK722874333VL212,NoReward,,29
6,XK722874333VL212,NoReward,,32
7,XK722874333VL212,NoReward,,35
8,XK722874333VL212,NoReward,,38
0,WC247803994GF657,NoReward,26.46433097972466,14
1,WC247803994GF657,NoReward,29.689139960446177,17
2,WC247803994GF657,NoReward,28.975922719646128,20
3,WC247803994GF657,NoReward,24.7274261223141,23
4,WC247803994GF657,NoReward,27.561191490233405,26
5,WC247803994GF657,NoReward,27.471638497412368,29
6,WC247803994GF657,NoReward,29.76132920674512,32
7,WC247803994GF657,NoReward,24.049540803174864,35
8,WC247803994GF657,NoReward,23.428593742984162,38
0,An789876880Um49,NoReward,,14
1,An789876880Um49,NoReward,,17
2,An789876880Um49,NoReward,,20
3,An789876880Um49,NoReward,,23
4,An789876880Um49,NoReward,,26
5,An789876880Um49,NoReward,,29
6,An789876880Um49,NoReward,,32
7,An789876880Um49,NoReward,,35
8,An789876880Um49,NoReward,,38
0,FG422120767Wz20,NoReward,,14
1,FG422120767Wz20,NoReward,,17
2,FG422120767Wz20,NoReward,,20
3,FG422120767Wz20,NoReward,,23
4,FG422120767Wz20,NoReward,,26
5,FG422120767Wz20,NoReward,,29
6,FG422120767Wz20,NoReward,,32
7,FG422120767Wz20,NoReward,,35
8,FG422120767Wz20,NoReward,,38
0,pO78426161Oe999,Reward,49.24104093311696,14
1,pO78426161Oe999,Reward,52.41523648737348,17
2,pO78426161Oe999,Reward,72.11112775510531,20
3,pO78426161Oe999,Reward,,23
4,pO78426161Oe999,Reward,,26
5,pO78426161Oe999,Reward,,29
6,pO78426161Oe999,Reward,,32
7,pO78426161Oe999,Reward,,35
8,pO78426161Oe999,Reward,,38
0,MF,NoReward,,14
1,MF,NoReward,,17
2,MF,NoReward,,20
3,MF,NoReward,,23
4,MF,NoReward,,26
5,MF,NoReward,,29
6,MF,NoReward,,32
7,MF,NoReward,,35
8,MF,NoReward,,38
0,OX377652340OK228,NoReward,36.79370821287995,14
1,OX377652340OK228,NoReward,38.9108263175151,17
2,OX377652340OK228,NoReward,37.37644264284216,20
3,OX377652340OK228,NoReward,,23
4,OX377652340OK228,NoReward,,26
5,OX377652340OK228,NoReward,,29
6,OX377652340OK228,NoReward,,32
7,OX377652340OK228,NoReward,,35
8,OX377652340OK228,NoReward,,38
0,Ac951310807Ba369,NoReward,39.44049626102228,14
1,Ac951310807Ba369,NoReward,42.397579378849414,17
2,Ac951310807Ba369,NoReward,44.06865867086215,20
3,Ac951310807Ba369,NoReward,40.77829613149903,23
4,Ac951310807Ba369,NoReward,47.428251932604,26
5,Ac951310807Ba369,NoReward,46.59182607478688,29
6,Ac951310807Ba369,NoReward,50.36095598148622,32
7,Ac951310807Ba369,NoReward,55.19827178259119,35
8,Ac951310807Ba369,NoReward,57.653774057175625,38
0,bD315366166XI81,Reward,27.561898675908118,14
1,bD315366166XI81,Reward,29.910888020663265,17
2,bD315366166XI81,Reward,24.102825797190153,20
3,bD315366166XI81,Reward,31.011947205257762,23
4,bD315366166XI81,Reward,29.527545351131778,26
5,bD315366166XI81,Reward,29.70978193167794,29
6,bD315366166XI81,Reward,21.605853758488895,32
7,bD315366166XI81,Reward,22.08046546222181,35
8,bD315366166XI81,Reward,21.82723428024724,38
0,pP523446637hf604,NoReward,,14
1,pP523446637hf604,NoReward,,17
2,pP523446637hf604,NoReward,,20
3,pP523446637hf604,NoReward,,23
4,pP523446637hf604,NoReward,,26
5,pP523446637hf604,NoReward,,29
6,pP523446637hf604,NoReward,,32
7,pP523446637hf604,NoReward,,35
8,pP523446637hf604,NoReward,,38
0,pZ714559851sE51,NoReward,33.15280849536597,14
1,pZ714559851sE51,NoReward,31.703615586270303,17
2,pZ714559851sE51,NoReward,28.87551219380929,20
3,pZ714559851sE51,NoReward,26.12811761893361,23
4,pZ714559851sE51,NoReward,20.30012153401889,26
5,pZ714559851sE51,NoReward,20.53809033282714,29
6,pZ714559851sE51,NoReward,20.42041100123433,32
7,pZ714559851sE51,NoReward,20.200882220170207,35
8,pZ714559851sE51,NoReward,18.84676898221849,38
0,Md97898857lx914,NoReward,32.67576353591161,14
1,Md97898857lx914,NoReward,47.97122725598527,17
2,Md97898857lx914,NoReward,,20
3,Md97898857lx914,NoReward,,23
4,Md97898857lx914,NoReward,,26
5,Md97898857lx914,NoReward,,29
6,Md97898857lx914,NoReward,,32
7,Md97898857lx914,NoReward,,35
8,Md97898857lx914,NoReward,,38
0,EE288981452fb406,NoReward,54.25666665996988,14
1,EE288981452fb406,NoReward,,17
2,EE288981452fb406,NoReward,,20
3,EE288981452fb406,NoReward,,23
4,EE288981452fb406,NoReward,,26
5,EE288981452fb406,NoReward,,29
6,EE288981452fb406,NoReward,,32
7,EE288981452fb406,NoReward,,35
8,EE288981452fb406,NoReward,,38
0,lA76851177un272,NoReward,,14
1,lA76851177un272,NoReward,,17
2,lA76851177un272,NoReward,,20
3,lA76851177un272,NoReward,,23
4,lA76851177un272,NoReward,,26
5,lA76851177un272,NoReward,,29
6,lA76851177un272,NoReward,,32
7,lA76851177un272,NoReward,,35
8,lA76851177un272,NoReward,,38
0,mt742485739Iw200,Reward,25.74353696156989,14
1,mt742485739Iw200,Reward,27.32245728049956,17
2,mt742485739Iw200,Reward,25.327194780773972,20
3,mt742485739Iw200,Reward,26.031387111704657,23
4,mt742485739Iw200,Reward,25.725217652360566,26
5,mt742485739Iw200,Reward,28.36180372300074,29
6,mt742485739Iw200,Reward,29.724998280462966,32
7,mt742485739Iw200,Reward,30.874630324661865,35
8,mt742485739Iw200,Reward,28.905863658239117,38
