,index,PtxID,Group,MAE_Chunk,Chunk
228,4,AC255458104IA833,Reward,,22
229,5,AC255458104IA833,Reward,,24
230,6,AC255458104IA833,Reward,,26
231,7,AC255458104IA833,Reward,,28
232,8,AC255458104IA833,Reward,,30
233,9,AC255458104IA833,Reward,,32
234,10,AC255458104IA833,Reward,,34
235,11,AC255458104IA833,Reward,,36
236,12,AC255458104IA833,Reward,,38
237,13,AC255458104IA833,Reward,,40
238,0,pU265328919tM703,Reward,,14
239,1,pU265328919tM703,Reward,,16
240,2,pU265328919tM703,Reward,,18
241,3,pU265328919tM703,Reward,,20
242,4,pU265328919tM703,Reward,,22
243,5,pU265328919tM703,Reward,,24
244,6,pU265328919tM703,Reward,,26
245,7,pU265328919tM703,Reward,,28
246,8,pU265328919tM703,Reward,,30
247,9,pU265328919tM703,Reward,,32
248,10,pU265328919tM703,Reward,,34
249,11,pU265328919tM703,Reward,,36
250,12,pU265328919tM703,Reward,,38
251,13,pU265328919tM703,Reward,,40
252,0,jh809396928Su223,Reward,30.346753930432,14
253,1,jh809396928Su223,Reward,34.582927770179076,16
254,2,jh809396928Su223,Reward,39.28570866586362,18
255,3,jh809396928Su223,Reward,36.773475445421184,20
256,4,jh809396928Su223,Reward,,22
257,5,jh809396928Su223,Reward,,24
258,6,jh809396928Su223,Reward,,26
259,7,jh809396928Su223,Reward,,28
260,8,jh809396928Su223,Reward,,30
261,9,jh809396928Su223,Reward,,32
262,10,jh809396928Su223,Reward,,34
263,11,jh809396928Su223,Reward,,36
264,12,jh809396928Su223,Reward,,38
265,13,jh809396928Su223,Reward,,40
266,0,sV262240837Wu893,Reward,12.549519277423792,14
267,1,sV262240837Wu893,Reward,12.520405629139074,16
268,2,sV262240837Wu893,Reward,,18
269,3,sV262240837Wu893,Reward,,20
270,4,sV262240837Wu893,Reward,,22
271,5,sV262240837Wu893,Reward,,24
272,6,sV262240837Wu893,Reward,,26
273,7,sV262240837Wu893,Reward,,28
274,8,sV262240837Wu893,Reward,,30
275,9,sV262240837Wu893,Reward,,32
276,10,sV262240837Wu893,Reward,,34
277,11,sV262240837Wu893,Reward,,36
278,12,sV262240837Wu893,Reward,,38
279,13,sV262240837Wu893,Reward,,40
280,0,uL709664845pY57,Reward,,14
281,1,uL709664845pY57,Reward,,16
282,2,uL709664845pY57,Reward,,18
283,3,uL709664845pY57,Reward,,20
284,4,uL709664845pY57,Reward,,22
285,5,uL709664845pY57,Reward,,24
286,6,uL709664845pY57,Reward,,26
287,7,uL709664845pY57,Reward,,28
288,8,uL709664845pY57,Reward,,30
289,9,uL709664845pY57,Reward,,32
290,10,uL709664845pY57,Reward,,34
291,11,uL709664845pY57,Reward,,36
292,12,uL709664845pY57,Reward,,38
293,13,uL709664845pY57,Reward,,40
294,0,Di839285889sX391,Reward,24.924668379251887,14
295,1,Di839285889sX391,Reward,27.010617108533655,16
296,2,Di839285889sX391,Reward,28.91100276243094,18
297,3,Di839285889sX391,Reward,25.955846187845303,20
298,4,Di839285889sX391,Reward,24.620789834254147,22
299,5,Di839285889sX391,Reward,23.303584530386736,24
300,6,Di839285889sX391,Reward,22.72725546961326,26
301,7,Di839285889sX391,Reward,20.907243093922652,28
302,8,Di839285889sX391,Reward,21.167985856353596,30
303,9,Di839285889sX391,Reward,21.29599644115961,32
304,10,Di839285889sX391,Reward,22.133872905248012,34
305,11,Di839285889sX391,Reward,21.74746094727599,36
306,12,Di839285889sX391,Reward,23.087907505518764,38
307,13,Di839285889sX391,Reward,22.831450269657164,40
308,0,Ch285298221IQ296,Reward,25.50787833163053,14
309,1,Ch285298221IQ296,Reward,27.286035278784702,16
310,2,Ch285298221IQ296,Reward,26.40172640638034,18
311,3,Ch285298221IQ296,Reward,27.008109014594083,20
312,4,Ch285298221IQ296,Reward,27.37455509542158,22
313,5,Ch285298221IQ296,Reward,27.008684341427273,24
314,6,Ch285298221IQ296,Reward,26.00167980247617,26
315,7,Ch285298221IQ296,Reward,27.537111797116516,28
316,8,Ch285298221IQ296,Reward,,30
317,9,Ch285298221IQ296,Reward,,32
318,10,Ch285298221IQ296,Reward,,34
319,11,Ch285298221IQ296,Reward,,36
320,12,Ch285298221IQ296,Reward,,38
321,13,Ch285298221IQ296,Reward,,40
322,0,pV715326977Ci92,NoReward,22.617729982167425,14
323,1,pV715326977Ci92,NoReward,24.740349602022345,16
324,2,pV715326977Ci92,NoReward,23.34832058077381,18
325,3,pV715326977Ci92,NoReward,23.659979121077725,20
326,4,pV715326977Ci92,NoReward,24.061078067351566,22
327,5,pV715326977Ci92,NoReward,21.25046506328422,24
328,6,pV715326977Ci92,NoReward,20.84734187899954,26
329,7,pV715326977Ci92,NoReward,23.757716136061774,28
330,8,pV715326977Ci92,NoReward,23.68605869097617,30
331,9,pV715326977Ci92,NoReward,22.524378488386468,32
332,10,pV715326977Ci92,NoReward,23.520880680344696,34
333,11,pV715326977Ci92,NoReward,21.91409275470622,36
334,12,pV715326977Ci92,NoReward,19.263599808889268,38
335,13,pV715326977Ci92,NoReward,19.428059716320014,40
336,0,FV138309651bm4,NoReward,,14
337,1,FV138309651bm4,NoReward,,16
338,2,FV138309651bm4,NoReward,,18
339,3,FV138309651bm4,NoReward,,20
340,4,FV138309651bm4,NoReward,,22
341,5,FV138309651bm4,NoReward,,24
342,6,FV138309651bm4,NoReward,,26
343,7,FV138309651bm4,NoReward,,28
344,8,FV138309651bm4,NoReward,,30
345,9,FV138309651bm4,NoReward,,32
346,10,FV138309651bm4,NoReward,,34
347,11,FV138309651bm4,NoReward,,36
348,12,FV138309651bm4,NoReward,,38
349,13,FV138309651bm4,NoReward,,40
350,0,av821962704Np731,NoReward,,14
351,1,av821962704Np731,NoReward,,16
352,2,av821962704Np731,NoReward,,18
353,3,av821962704Np731,NoReward,,20
354,4,av821962704Np731,NoReward,,22
355,5,av821962704Np731,NoReward,,24
356,6,av821962704Np731,NoReward,,26
357,7,av821962704Np731,NoReward,,28
358,8,av821962704Np731,NoReward,,30
359,9,av821962704Np731,NoReward,,32
360,10,av821962704Np731,NoReward,,34
361,11,av821962704Np731,NoReward,,36
362,12,av821962704Np731,NoReward,,38
363,13,av821962704Np731,NoReward,,40
364,0,NN0891521Nv932,Reward,,14
365,1,NN0891521Nv932,Reward,,16
366,2,NN0891521Nv932,Reward,,18
367,3,NN0891521Nv932,Reward,,20
368,4,NN0891521Nv932,Reward,,22
369,5,NN0891521Nv932,Reward,,24
370,6,NN0891521Nv932,Reward,,26
371,7,NN0891521Nv932,Reward,,28
372,8,NN0891521Nv932,Reward,,30
373,9,NN0891521Nv932,Reward,,32
374,10,NN0891521Nv932,Reward,,34
375,11,NN0891521Nv932,Reward,,36
376,12,NN0891521Nv932,Reward,,38
377,13,NN0891521Nv932,Reward,,40
378,0,NRNFMMM589968,NoReward,,14
379,1,NRNFMMM589968,NoReward,,16
380,2,NRNFMMM589968,NoReward,,18
381,3,NRNFMMM589968,NoReward,,20
382,4,NRNFMMM589968,NoReward,,22
383,5,NRNFMMM589968,NoReward,,24
384,6,NRNFMMM589968,NoReward,,26
385,7,NRNFMMM589968,NoReward,,28
386,8,NRNFMMM589968,NoReward,,30
387,9,NRNFMMM589968,NoReward,,32
388,10,NRNFMMM589968,NoReward,,34
389,11,NRNFMMM589968,NoReward,,36
390,12,NRNFMMM589968,NoReward,,38
391,13,NRNFMMM589968,NoReward,,40
392,0,ML52766852sX612,NoReward,,14
393,1,ML52766852sX612,NoReward,,16
394,2,ML52766852sX612,NoReward,,18
395,3,ML52766852sX612,NoReward,,20
396,4,ML52766852sX612,NoReward,,22
397,5,ML52766852sX612,NoReward,,24
398,6,ML52766852sX612,NoReward,,26
399,7,ML52766852sX612,NoReward,,28
400,8,ML52766852sX612,NoReward,,30
401,9,ML52766852sX612,NoReward,,32
402,10,ML52766852sX612,NoReward,,34
403,11,ML52766852sX612,NoReward,,36
404,12,ML52766852sX612,NoReward,,38
405,13,ML52766852sX612,NoReward,,40
406,0,Hv578899179Yv8,NoReward,16.320892663586143,14
407,1,Hv578899179Yv8,NoReward,18.303562099802825,16
408,2,Hv578899179Yv8,NoReward,17.28953979506602,18
409,3,Hv578899179Yv8,NoReward,,20
410,4,Hv578899179Yv8,NoReward,,22
411,5,Hv578899179Yv8,NoReward,,24
412,6,Hv578899179Yv8,NoReward,,26
413,7,Hv578899179Yv8,NoReward,,28
414,8,Hv578899179Yv8,NoReward,,30
415,9,Hv578899179Yv8,NoReward,,32
416,10,Hv578899179Yv8,NoReward,,34
417,11,Hv578899179Yv8,NoReward,,36
418,12,Hv578899179Yv8,NoReward,,38
419,13,Hv578899179Yv8,NoReward,,40
420,0,PS940208551QF590,Reward,19.53667616531903,14
421,1,PS940208551QF590,Reward,20.719237848979354,16
422,2,PS940208551QF590,Reward,18.448288071943352,18
423,3,PS940208551QF590,Reward,18.77862435145046,20
424,4,PS940208551QF590,Reward,17.897252751626333,22
425,5,PS940208551QF590,Reward,18.385471739203407,24
426,6,PS940208551QF590,Reward,17.817653677637672,26
427,7,PS940208551QF590,Reward,18.108252984118987,28
428,8,PS940208551QF590,Reward,17.65342435454081,30
429,9,PS940208551QF590,Reward,17.354223174787485,32
430,10,PS940208551QF590,Reward,17.621828448029262,34
431,11,PS940208551QF590,Reward,17.47340053999554,36
432,12,PS940208551QF590,Reward,17.28918078850639,38
433,13,PS940208551QF590,Reward,15.78256801506122,40
434,0,wQ432254460Cm818,NoReward,19.1401511777161,14
435,1,wQ432254460Cm818,NoReward,20.71657262558746,16
436,2,wQ432254460Cm818,NoReward,19.468258494594835,18
437,3,wQ432254460Cm818,NoReward,19.579956857681793,20
438,4,wQ432254460Cm818,NoReward,20.065499528921535,22
439,5,wQ432254460Cm818,NoReward,20.656116173216493,24
440,6,wQ432254460Cm818,NoReward,19.408783656820354,26
441,7,wQ432254460Cm818,NoReward,19.5170070580808,28
442,8,wQ432254460Cm818,NoReward,20.016451041640238,30
443,9,wQ432254460Cm818,NoReward,19.487853382898127,32
444,10,wQ432254460Cm818,NoReward,18.382709417622145,34
445,11,wQ432254460Cm818,NoReward,18.74002280658891,36
446,12,wQ432254460Cm818,NoReward,17.514068297355298,38
447,13,wQ432254460Cm818,NoReward,15.763157412034806,40
448,0,Wr404947346qM443,NoReward,,14
449,1,Wr404947346qM443,NoReward,,16
450,2,Wr404947346qM443,NoReward,,18
451,3,Wr404947346qM443,NoReward,,20
452,4,Wr404947346qM443,NoReward,,22
453,5,Wr404947346qM443,NoReward,,24
454,6,Wr404947346qM443,NoReward,,26
455,7,Wr404947346qM443,NoReward,,28
456,8,Wr404947346qM443,NoReward,,30
457,9,Wr404947346qM443,NoReward,,32
458,10,Wr404947346qM443,NoReward,,34
459,11,Wr404947346qM443,NoReward,,36
460,12,Wr404947346qM443,NoReward,,38
461,13,Wr404947346qM443,NoReward,,40
462,0,Nr746161853dz70,NoReward,,14
463,1,Nr746161853dz70,NoReward,,16
464,2,Nr746161853dz70,NoReward,,18
465,3,Nr746161853dz70,NoReward,,20
466,4,Nr746161853dz70,NoReward,,22
467,5,Nr746161853dz70,NoReward,,24
468,6,Nr746161853dz70,NoReward,,26
469,7,Nr746161853dz70,NoReward,,28
470,8,Nr746161853dz70,NoReward,,30
471,9,Nr746161853dz70,NoReward,,32
472,10,Nr746161853dz70,NoReward,,34
473,11,Nr746161853dz70,NoReward,,36
474,12,Nr746161853dz70,NoReward,,38
475,13,Nr746161853dz70,NoReward,,40
476,0,fk560962752EX865,NoReward,,14
477,1,fk560962752EX865,NoReward,,16
478,2,fk560962752EX865,NoReward,,18
479,3,fk560962752EX865,NoReward,,20
480,4,fk560962752EX865,NoReward,,22
481,5,fk560962752EX865,NoReward,,24
482,6,fk560962752EX865,NoReward,,26
483,7,fk560962752EX865,NoReward,,28
484,8,fk560962752EX865,NoReward,,30
485,9,fk560962752EX865,NoReward,,32
486,10,fk560962752EX865,NoReward,,34
487,11,fk560962752EX865,NoReward,,36
488,12,fk560962752EX865,NoReward,,38
489,13,fk560962752EX865,NoReward,,40
490,0,bK933906299Id748,Reward,29.588088356155822,14
491,1,bK933906299Id748,Reward,31.383326229209796,16
492,2,bK933906299Id748,Reward,33.40435119541367,18
493,3,bK933906299Id748,Reward,34.38509323774459,20
494,4,bK933906299Id748,Reward,32.387937676049766,22
495,5,bK933906299Id748,Reward,33.491936968005845,24
496,6,bK933906299Id748,Reward,33.7484717878382,26
497,7,bK933906299Id748,Reward,32.91875801524411,28
498,8,bK933906299Id748,Reward,31.142004105311948,30
499,9,bK933906299Id748,Reward,32.12071859778012,32
500,10,bK933906299Id748,Reward,36.31874211580854,34
501,11,bK933906299Id748,Reward,39.886613622819766,36
502,12,bK933906299Id748,Reward,40.25411007710319,38
503,13,bK933906299Id748,Reward,38.0044214757267,40
504,0,gz873989828sw827,Reward,,14
505,1,gz873989828sw827,Reward,,16
506,2,gz873989828sw827,Reward,,18
507,3,gz873989828sw827,Reward,,20
508,4,gz873989828sw827,Reward,,22
509,5,gz873989828sw827,Reward,,24
510,6,gz873989828sw827,Reward,,26
511,7,gz873989828sw827,Reward,,28
512,8,gz873989828sw827,Reward,,30
513,9,gz873989828sw827,Reward,,32
514,10,gz873989828sw827,Reward,,34
515,11,gz873989828sw827,Reward,,36
516,12,gz873989828sw827,Reward,,38
517,13,gz873989828sw827,Reward,,40
518,0,gg646183622lq862,NoReward,29.22182544011996,14
519,1,gg646183622lq862,NoReward,32.306485896543144,16
520,2,gg646183622lq862,NoReward,26.256979002749063,18
521,3,gg646183622lq862,NoReward,25.541884967622927,20
522,4,gg646183622lq862,NoReward,27.150366741903433,22
523,5,gg646183622lq862,NoReward,26.071886474383803,24
524,6,gg646183622lq862,NoReward,23.105209683216437,26
525,7,gg646183622lq862,NoReward,26.574696656140084,28
526,8,gg646183622lq862,NoReward,24.2948271763467,30
527,9,gg646183622lq862,NoReward,22.08364667691069,32
528,10,gg646183622lq862,NoReward,21.617765817313035,34
529,11,gg646183622lq862,NoReward,19.131923917636833,36
530,12,gg646183622lq862,NoReward,14.115054671555853,38
531,13,gg646183622lq862,NoReward,14.172215633068111,40
532,0,Vg620975542yx459,NoReward,20.465631372312266,14
533,1,Vg620975542yx459,NoReward,21.1036364551852,16
534,2,Vg620975542yx459,NoReward,19.104848824655765,18
535,3,Vg620975542yx459,NoReward,18.522170607734804,20
536,4,Vg620975542yx459,NoReward,17.626541220348077,22
537,5,Vg620975542yx459,NoReward,18.524208402668517,24
538,6,Vg620975542yx459,NoReward,18.38225072311051,26
539,7,Vg620975542yx459,NoReward,18.143797669424213,28
540,8,Vg620975542yx459,NoReward,18.606019371886617,30
541,9,Vg620975542yx459,NoReward,18.8098362730855,32
542,10,Vg620975542yx459,NoReward,18.99114511286451,34
543,11,Vg620975542yx459,NoReward,19.162687101814782,36
544,12,Vg620975542yx459,NoReward,19.26530313892649,38
545,13,Vg620975542yx459,NoReward,18.219521657458564,40
546,0,iv952424735op998,Reward,16.172898040898865,14
547,1,iv952424735op998,Reward,17.21354367625798,16
548,2,iv952424735op998,Reward,15.40087740413719,18
549,3,iv952424735op998,Reward,14.826413647231115,20
550,4,iv952424735op998,Reward,14.959933653970461,22
551,5,iv952424735op998,Reward,14.93137182320442,24
552,6,iv952424735op998,Reward,14.546070165745856,26
553,7,iv952424735op998,Reward,15.103218339233138,28
554,8,iv952424735op998,Reward,14.26797900221656,30
555,9,iv952424735op998,Reward,14.465480369894289,32
556,10,iv952424735op998,Reward,14.282639056855373,34
557,11,iv952424735op998,Reward,15.00819664042958,36
558,12,iv952424735op998,Reward,14.902067582964401,38
559,13,iv952424735op998,Reward,15.290495538765503,40
560,0,zU983253538Tj193,NoReward,,14
561,1,zU983253538Tj193,NoReward,,16
562,2,zU983253538Tj193,NoReward,,18
563,3,zU983253538Tj193,NoReward,,20
564,4,zU983253538Tj193,NoReward,,22
565,5,zU983253538Tj193,NoReward,,24
566,6,zU983253538Tj193,NoReward,,26
567,7,zU983253538Tj193,NoReward,,28
568,8,zU983253538Tj193,NoReward,,30
569,9,zU983253538Tj193,NoReward,,32
570,10,zU983253538Tj193,NoReward,,34
571,11,zU983253538Tj193,NoReward,,36
572,12,zU983253538Tj193,NoReward,,38
573,13,zU983253538Tj193,NoReward,,40
574,0,te60281288Gj243,Reward,,14
575,1,te60281288Gj243,Reward,,16
576,2,te60281288Gj243,Reward,,18
577,3,te60281288Gj243,Reward,,20
578,4,te60281288Gj243,Reward,,22
579,5,te60281288Gj243,Reward,,24
580,6,te60281288Gj243,Reward,,26
581,7,te60281288Gj243,Reward,,28
582,8,te60281288Gj243,Reward,,30
583,9,te60281288Gj243,Reward,,32
584,10,te60281288Gj243,Reward,,34
585,11,te60281288Gj243,Reward,,36
586,12,te60281288Gj243,Reward,,38
587,13,te60281288Gj243,Reward,,40
588,0,Bm668184579LL501,NoReward,17.383404238761972,14
589,1,Bm668184579LL501,NoReward,18.188713290541592,16
590,2,Bm668184579LL501,NoReward,17.617962948349327,18
591,3,Bm668184579LL501,NoReward,17.23027136518288,20
592,4,Bm668184579LL501,NoReward,17.330929124876175,22
593,5,Bm668184579LL501,NoReward,15.578354234130217,24
594,6,Bm668184579LL501,NoReward,15.451222311542072,26
